Year,Catfishes,Coilia,Eels,Hilsa shad,Non-penaeid prawns,Oil sardine,Other sardines,Penaeid prawns,Rays,Setipinna,Sharks,Skates,Squids,Stolephorus,Threadfin breams,Wolf herring,Other,total_catch
1950,0,0,0,847,0,34827,0,0,0,0,0,0,0,0,0,0,604500,35675
1951,0,0,0,780,0,17449,0,0,0,0,0,0,0,0,0,0,576623,18229
1952,0,0,0,772,0,14062,0,0,0,0,0,0,0,0,0,0,575763,14835
1953,0,0,0,850,0,52475,0,0,0,0,0,0,0,0,0,0,592030,53325
1954,0,0,0,820,0,48000,0,0,0,0,0,0,0,0,0,0,585000,48820
1955,0,0,0,900,0,55000,0,1000,0,0,0,0,0,0,0,0,600000,56100
1956,0,0,0,880,0,52000,0,1200,0,0,0,0,0,0,0,0,595000,54480
1957,0,0,0,950,0,58000,0,1500,0,0,0,0,0,0,0,0,610000,59650
1958,0,0,0,910,0,54000,0,1300,0,0,0,0,0,0,0,0,602000,55410
1959,0,0,0,870,0,51000,0,1100,0,0,0,0,0,0,0,0,590000,52270
